,admin1,countryname,cc,lat,admin2,name,lon
0,Alger,Algeria,DZ,36.7525,,Algiers,3.04197
1,Boumerdes,Algeria,DZ,36.74625,,Naciria,3.83163
2,Tamanghasset,Algeria,DZ,27.19351,,I-n-Salah,2.46069
3,Tamanghasset,Algeria,DZ,27.19351,,I-n-Salah,2.46069
4,Alger,Algeria,DZ,36.7525,,Algiers,3.04197
5,Tamanghasset,Algeria,DZ,27.19351,,I-n-Salah,2.46069
6,Alger,Algeria,DZ,36.7525,,Algiers,3.04197
7,Tamanghasset,Algeria,DZ,27.19351,,I-n-Salah,2.46069
8,Alger,Algeria,DZ,36.7525,,Algiers,3.04197
9,Bouira,Algeria,DZ,36.37489,,Bouira,3.902
10,Tizi Ouzou,Algeria,DZ,36.71182,,Tizi Ouzou,4.04591
11,Boumerdes,Algeria,DZ,36.76639,,Boumerdas,3.47717
12,Alger,Algeria,DZ,36.7525,,Algiers,3.04197
13,Alger,Algeria,DZ,36.7525,,Algiers,3.04197
14,Alger,Algeria,DZ,36.7525,,Algiers,3.04197
15,Alger,Algeria,DZ,36.7525,,Algiers,3.04197
16,Constantine,Algeria,DZ,36.365,,Constantine,6.61472
17,Wilaya de M'Sila,Algeria,DZ,35.70583,,M'Sila,4.54194
18,Skikda,Algeria,DZ,36.87617,,Skikda,6.90921
19,Tizi Ouzou,Algeria,DZ,36.71182,,Tizi Ouzou,4.04591
20,Bie,Angola,AO,-12.01667,,Camacupa,17.48333
21,Luanda,Angola,AO,-8.83682,,Luanda,13.23432
22,Luanda,Angola,AO,-8.83682,,Luanda,13.23432
23,Luanda,Angola,AO,-8.83682,,Luanda,13.23432
24,Luanda,Angola,AO,-8.83682,,Luanda,13.23432
25,Bie,Angola,AO,-12.01667,,Camacupa,17.48333
26,Luanda,Angola,AO,-8.83682,,Luanda,13.23432
27,Luanda,Angola,AO,-8.83682,,Luanda,13.23432
28,Luanda,Angola,AO,-8.83682,,Luanda,13.23432
