,lat,admin1,lon,name,admin2,countryname,cc
0,36.7525,Alger,3.04197,Algiers,,Algeria,DZ
1,36.74625,Boumerdes,3.83163,Naciria,,Algeria,DZ
2,27.19351,Tamanghasset,2.46069,I-n-Salah,,Algeria,DZ
3,27.19351,Tamanghasset,2.46069,I-n-Salah,,Algeria,DZ
4,36.7525,Alger,3.04197,Algiers,,Algeria,DZ
5,27.19351,Tamanghasset,2.46069,I-n-Salah,,Algeria,DZ
6,36.7525,Alger,3.04197,Algiers,,Algeria,DZ
7,27.19351,Tamanghasset,2.46069,I-n-Salah,,Algeria,DZ
8,36.7525,Alger,3.04197,Algiers,,Algeria,DZ
9,36.37489,Bouira,3.902,Bouira,,Algeria,DZ
10,36.71182,Tizi Ouzou,4.04591,Tizi Ouzou,,Algeria,DZ
11,36.76639,Boumerdes,3.47717,Boumerdas,,Algeria,DZ
12,36.7525,Alger,3.04197,Algiers,,Algeria,DZ
13,36.7525,Alger,3.04197,Algiers,,Algeria,DZ
14,36.7525,Alger,3.04197,Algiers,,Algeria,DZ
15,36.7525,Alger,3.04197,Algiers,,Algeria,DZ
16,36.365,Constantine,6.61472,Constantine,,Algeria,DZ
17,35.70583,Wilaya de M'Sila,4.54194,M'Sila,,Algeria,DZ
18,36.87617,Skikda,6.90921,Skikda,,Algeria,DZ
19,36.71182,Tizi Ouzou,4.04591,Tizi Ouzou,,Algeria,DZ
20,-12.01667,Bie,17.48333,Camacupa,,Angola,AO
21,-8.83682,Luanda,13.23432,Luanda,,Angola,AO
22,-8.83682,Luanda,13.23432,Luanda,,Angola,AO
23,-8.83682,Luanda,13.23432,Luanda,,Angola,AO
24,-8.83682,Luanda,13.23432,Luanda,,Angola,AO
25,-12.01667,Bie,17.48333,Camacupa,,Angola,AO
26,-8.83682,Luanda,13.23432,Luanda,,Angola,AO
27,-8.83682,Luanda,13.23432,Luanda,,Angola,AO
28,-8.83682,Luanda,13.23432,Luanda,,Angola,AO
29,-8.83682,Luanda,13.23432,Luanda,,Angola,AO
30,-8.83682,Luanda,13.23432,Luanda,,Angola,AO
31,-8.83682,Luanda,13.23432,Luanda,,Angola,AO
32,9.19916,Borgou,2.25855,Beterou,,Benin,BJ
33,9.19916,Borgou,2.25855,Beterou,,Benin,BJ
34,9.19916,Borgou,2.25855,Beterou,,Benin,BJ
35,6.49646,Queme,2.60359,Porto-Novo,,Benin,BJ
36,9.19916,Borgou,2.25855,Beterou,,Benin,BJ
37,6.44852,Atlantique,2.35566,Abomey-Calavi,,Benin,BJ
38,6.44852,Atlantique,2.35566,Abomey-Calavi,,Benin,BJ
39,6.44852,Atlantique,2.35566,Abomey-Calavi,,Benin,BJ
40,6.44852,Atlantique,2.35566,Abomey-Calavi,,Benin,BJ
41,6.44852,Atlantique,2.35566,Abomey-Calavi,,Benin,BJ
42,6.44852,Atlantique,2.35566,Abomey-Calavi,,Benin,BJ
43,6.44852,Atlantique,2.35566,Abomey-Calavi,,Benin,BJ
44,6.44852,Atlantique,2.35566,Abomey-Calavi,,Benin,BJ
45,6.44852,Atlantique,2.35566,Abomey-Calavi,,Benin,BJ
46,6.44852,Atlantique,2.35566,Abomey-Calavi,,Benin,BJ
47,6.44852,Atlantique,2.35566,Abomey-Calavi,,Benin,BJ
48,7.36332,Plateau,2.59978,Ketou,,Benin,BJ
49,6.93333,Kouffo,1.68333,Aplahoue,,Benin,BJ
50,9.33716,Borgou,2.63031,Parakou,,Benin,BJ
51,9.33716,Borgou,2.63031,Parakou,,Benin,BJ
52,9.33716,Borgou,2.63031,Parakou,,Benin,BJ
53,-21.18333,Central,24.88333,Mopipi,,Botswana,BW
54,-24.65451,South East,25.90859,Gaborone,,Botswana,BW
55,-24.65451,South East,25.90859,Gaborone,,Botswana,BW
